,id,full_name,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,survey_response
0,1351,Melodie Stuart,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,12/31/2018,115,Clean,Neutral,Very satisfied,It was terrible
1,373,Dominic Shannon,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,12/31/2018,135,Clean,Very safe,Very satisfied,I didn't like the flight
2,2820,Quintessa Tillman,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,12/31/2018,70,Average,Somewhat safe,Neutral,I hate this
3,1157,Dr. Christine Nicholson,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,12/31/2018,190,Clean,Very safe,Somewhat satsified,Not a fan
4,2992,Regina Clements,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,12/31/2018,559,Unacceptable,Very safe,Somewhat satsified,Bad
5,634,Colleen Harding,Thursday,ALASKA,NEWARK,East US,Hub,Gates 50-59,12/31/2018,140,Somewhat clean,Very safe,Very satisfied,Horrible
6,2578,Kaitlin Cochran,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,12/31/2018,63,Clean,Very safe,Somewhat satsified,Very poor
7,2592,Molly Norton,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,    Hub,Gates 1-12,12/31/2018,215,Somewhat clean,Very safe,Neutral,Unacceptable flight
8,919,Richard Lott,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,70,Somewhat clean,Somewhat safe,Somewhat satsified,It was awful
9,3028,Matthew Nguyen,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,12/31/2018,180,Average,Very safe,Neutral,My fllight was really unpleasant
10,1129,Dr. Laith Decker,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,12/31/2018,540,Clean,Very safe,Somewhat satsified,I am not a fan
11,2648,Holly Austin,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,12/31/2018,192,Somewhat clean,Very safe,Somewhat satsified,I had a bad flight
12,3104,Jaden Gray,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,12/31/2018,107,Clean,Very safe,Somewhat satsified,It was very bad
13,2589,Germaine Hurley,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satsified,it was horrible
14,2345,Kyle Gay,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,12/31/2018,155,Somewhat clean,Somewhat safe,Somewhat satsified,Terrible
15,390,Zachery Diaz,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,175,Somewhat clean,Neutral,Somewhat satsified,It was substandard
16,954,Carolyn Hartman,Tuesday,ALASKA,NEW YORK-JFK,EAST US,    Hub,Gates 50-59,12/31/2018,100,Clean,Very safe,Very satisfied,I did not enjoy the flight
17,2913,Miss Alana Grant,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,12/31/2018,225,Unacceptable,Very safe,Somewhat satsified,The airport personnell forgot to alert us of depature times and we missed our flight
18,803,Idola Acosta,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,12/31/2018,155,Clean,Very safe,Very satisfied,The food in the airport was really really expensive so we were unable to feed our three screaming brats
19,767,Dara English,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,115,Average,Neutral,Somewhat satsified,One of the other travelers was really loud and I was not able to get any rest before my big presentation and I was hung over as all get out
20,1214,Miss Aurora Flores,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,12/31/2018,60,Average,Somewhat safe,Somewhat satsified,It was terrible
21,1373,Henry Sloan,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub     ,Gates 91-102,12/31/2018,145,Clean,Very safe,Somewhat satsified,I didn't like the flight
22,1263,Jared Chase,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,12/31/2018,210,Average,Neutral,Neutral,I hate this
23,2723,Xavier Castro,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,160,Somewhat clean,Very safe,Somewhat satsified,Not a fan
24,3097,Holmes Fowler,Tuesday,UNITED,SPOKANE,West US,    Small,Gates 70-90,12/31/2018,604,Clean,Very safe,Very satisfied,Bad
25,214,Lucy Noel,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,12/31/2018,100,Average,Somewhat safe,Somewhat satsified,Horrible
26,1372,Kerry Tucker,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,    Hub,Gates 91-102,12/31/2018,205,Somewhat clean,Very safe,Somewhat satsified,Very poor
27,1956,Garrison Barrett,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,12/31/2018,115,Somewhat clean,Somewhat safe,Somewhat satsified,Unacceptable flight
28,1716,Stephanie Cannon,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,12/31/2018,510,Clean,Neutral,Very satisfied,It was awful
29,1487,Dr. Charlotte Savage,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium     ,Gates 1-12,12/31/2018,135,Clean,Very safe,Somewhat satsified,My fllight was really unpleasant
30,842,Lane Clements,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,12/31/2018,145,Somewhat clean,Very safe,Somewhat satsified,I am not a fan
31,930,Aimee Whitfield,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,12/31/2018,270,Average,Somewhat safe,Somewhat satsified,I had a bad flight
32,3064,Martena Neal,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,12/31/2018,173,Average,Neutral,Neutral,It was very bad
33,743,Xandra Hartman,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,12/31/2018,100,Somewhat clean,Very safe,Somewhat satsified,it was horrible
